judge,method,metric,target,iter_K0,iter_K5,cooperation,n,mean_K0,mean_K5,mean_delta,dz,ci_lo,ci_hi,p,p_holm,share_K0_ge_4.5,share_K5_ge_4.5
claude-haiku-4-5,GRPO,MICI,matched_final,5,5,Resistant,32,0.5975971378498952,0.7114780084844823,-0.11388087063458707,-0.34836876636204184,-0.22818959065530858,-0.00842884502095664,0.06987441248470554,0.13974882496941107,,
claude-haiku-4-5,GRPO,MICI,matched_final,5,5,All,96,0.6286796194430865,0.6466568265183593,-0.017977207075272925,-0.052997955799543285,-0.08492444521620511,0.05044167531478211,0.6360645782349432,,,
claude-haiku-4-5,GRPO,MICI,own_best,8,4,Cooperative,32,1.0362763798701298,0.4525233824590442,0.5837529974110857,1.4626654173462157,0.4483831991129786,0.7219613655594813,1.403286299536733e-06,4.209858898610199e-06,,
claude-haiku-4-5,GRPO,MICI,own_best,8,4,Warms up,32,0.8355575610427584,0.6152282674433409,0.22032929359941744,0.8156372993015499,0.12978953574053226,0.3146561816961632,0.00016813790567257226,0.0003362758113451445,,
claude-haiku-4-5,GRPO,MICI,own_best,8,4,Resistant,32,0.823188618382569,0.6180629960317461,0.205125622350823,0.6380724236458544,0.09689345530447677,0.32095702965549505,0.0012862492683701533,0.0012862492683701533,,
claude-haiku-4-5,GRPO,MICI,own_best,8,4,All,96,0.8983408530984858,0.5619382153113771,0.3364026377871087,0.8975877785205388,0.2591313243568345,0.40998242721669864,2.194614829521184e-12,,,
claude-haiku-4-5,GRPO,PCT,matched_final,5,5,Cooperative,32,0.9623106060606061,0.9553199404761905,0.006990665584415603,0.09668968204259365,-0.017688914817821047,0.03162146013708515,0.3964934999283882,0.3964934999283882,,
claude-haiku-4-5,GRPO,PCT,matched_final,5,5,Warms up,32,0.5229051110460746,0.661944218975469,-0.1390391079293943,-0.7862776409636196,-0.19817863690934756,-0.07851044434823218,0.00033112248025772686,0.0009933674407731805,,
claude-haiku-4-5,GRPO,PCT,matched_final,5,5,Resistant,32,0.17939651467491055,0.24967066924303766,-0.0702741545681271,-0.30621464225253525,-0.14767307802182877,0.006522536016749131,0.10835181028157613,0.21670362056315226,,
claude-haiku-4-5,GRPO,PCT,matched_final,5,5,All,96,0.554870743927197,0.6223116095648991,-0.06744086563770194,-0.3729990632089324,-0.10535669094036089,-0.03117107506795249,0.0005574574664504758,,,
claude-haiku-4-5,GRPO,PCT,own_best,8,4,Cooperative,32,0.9921875,0.9635222567287784,0.028665243271221535,0.4655433411787774,0.00857378741804693,0.049284191144755,0.022490551854003286,0.04498110370800657,,
claude-haiku-4-5,GRPO,PCT,own_best,8,4,Warms up,32,0.5209751033280445,0.6380734252202904,-0.11709832189224603,-0.5175003236797684,-0.19171119070155207,-0.042744464058741855,0.0015865290123481968,0.0047595870370445905,,
claude-haiku-4-5,GRPO,PCT,own_best,8,4,Resistant,32,0.27495657466995505,0.3505384010124722,-0.07558182634251712,-0.26156429534890857,-0.17280980697068882,0.025816934304622927,0.07140672586492942,0.07140672586492942,,
claude-haiku-4-5,GRPO,PCT,own_best,8,4,All,96,0.5960397259993332,0.6507113609871804,-0.05467163498784722,-0.247003657915251,-0.0967233404826526,-0.011072134466631049,0.006061881105041512,,,
