pair,metric,primary_n,primary_delta,primary_dz,primary_ci_lo,primary_ci_hi,primary_p,primary_p_holm,judge_delta,judge_dz,judge_ci_lo,judge_ci_hi,judge_p,judge_p_holm,same_sign,judge_ci_excl0,favours_primary,favours_judge
GRPO_LA5_I5 − GRPO_LA0_I8 (K=0 best by primary Q1Q2),Q1,96,0.05208333333333337,0.07195068705700412,-0.08958333333333333,0.19791666666666674,0.5325790376480866,1.0,0.4854166666666666,0.6040961605579458,0.32291666666666663,0.6458333333333334,4.954908628895777e-07,3.963926903116621e-06,True,True,A,A
GRPO_LA5_I5 − GRPO_LA0_I8 (K=0 best by primary Q1Q2),Q2,96,-0.13357843137254907,-0.22414208778412015,-0.24572610294117653,-0.017141544117647137,0.001884325567209902,0.013190278970469314,-0.12438725490196079,-0.21520915879854569,-0.2346966911764706,-0.006740196078431403,0.012404307351925126,0.07442584411155076,True,True,B,B
GRPO_LA5_I5 − GRPO_LA0_I8 (K=0 best by primary Q1Q2),WAI-SR,96,0.0894097222222222,0.15211023656652284,-0.026931423611111133,0.21006944444444442,0.27743157932979146,1.0,-0.08506944444444442,-0.14199653340327517,-0.19707031249999996,0.03993055555555552,0.042741994147283933,0.17096797658913573,False,False,A,B
GRPO_LA5_I5 − GRPO_LA0_I8 (K=0 best by primary Q1Q2),CSQ-8,96,0.15885416666666666,0.23530730106856718,0.022135416666666668,0.29300130208333314,0.01213256577242247,0.07279539463453481,0.0546875,0.08271666379915571,-0.06901041666666667,0.18619791666666666,0.7512150468039058,0.8531063524751232,True,False,A,A
GRPO_LA5_I5 − GRPO_LA0_I8 (K=0 best by primary Q1Q2),MI-SAT,96,0.11805555555555562,0.12914602204410744,-0.06775173611111104,0.3038628472222221,0.07731621922099334,0.3865810961049667,0.18055555555555555,0.29475024279499007,0.05902777777777779,0.30034722222222227,0.003946123966997767,0.027622867768984368,True,True,A,A
GRPO_LA5_I5 − GRPO_LA0_I8 (K=0 best by primary Q1Q2),MITI,96,-0.22395833333333334,-0.4006464185654253,-0.328125,-0.10677083333333333,3.8643360167030364e-05,0.0003091468813362429,-0.033854166666666664,-0.09124561414953067,-0.10677083333333333,0.036458333333333336,0.4119309076508094,0.8531063524751232,True,False,B,B
GRPO_LA5_I5 − GRPO_LA0_I8 (K=0 best by primary Q1Q2),PCT,96,0.006540528114448726,0.028754047842975493,-0.04106502871320489,0.051073545931747816,0.5297748409059815,1.0,0.026271883565565844,0.12227317943224458,-0.016478786887159324,0.06974773475743987,0.2843687841583744,0.8531063524751232,True,False,A,A
GRPO_LA5_I5 − GRPO_LA0_I8 (K=0 best by primary Q1Q2),MICI,96,-0.1949727478073214,-0.6181671328775943,-0.2546844954412445,-0.13028306629473194,1.6638303356142188e-07,1.497447302052797e-06,-0.2516840265801263,-0.6186500927573403,-0.33185796457481276,-0.16920342516785464,1.3948643305523898e-07,1.2553778974971508e-06,True,True,A,A
GRPO_LA5_I5 − GRPO_LA0_I3 (K=0 best by held-out Q1Q2),Q1Q2,96,0.04810049019607845,0.1020878570718608,-0.04628370098039216,0.1429672181372549,0.06270948654605146,0.25083794618420585,0.16109068627450981,0.30979655423808977,0.05706954656862747,0.26343596813725484,0.006700593510689605,0.040203561064137625,True,True,A,A
GRPO_LA5_I5 − GRPO_LA0_I3 (K=0 best by held-out Q1Q2),Q1,96,0.05208333333333335,0.09906418217362763,-0.05416666666666666,0.16041666666666668,0.2846799286195011,0.290146082046529,0.23333333333333328,0.3432727319337598,0.09583333333333331,0.3708333333333333,0.002912818048648413,0.020389726340538893,True,True,A,A
GRPO_LA5_I5 − GRPO_LA0_I3 (K=0 best by held-out Q1Q2),Q2,96,0.044117647058823505,0.09504055929312756,-0.04718137254901968,0.13359374999999987,0.09671536068217633,0.290146082046529,0.08884803921568633,0.1701053469138444,-0.016544117647058765,0.19424019607843146,0.1959450443075197,0.7415935134325014,True,False,A,A
GRPO_LA5_I5 − GRPO_LA0_I3 (K=0 best by held-out Q1Q2),WAI-SR,96,0.16232638888888887,0.34590065099795025,0.07202690972222221,0.26128472222222215,0.002822898538904414,0.022583188311235312,-0.04774305555555555,-0.09663027433973559,-0.14322916666666666,0.05121527777777777,0.18539837835812534,0.7415935134325014,False,False,A,B
GRPO_LA5_I5 − GRPO_LA0_I3 (K=0 best by held-out Q1Q2),CSQ-8,96,0.09635416666666667,0.19341211115659174,-0.0026041666666666665,0.20182291666666666,0.039194337065585186,0.23516602239351111,0.036458333333333336,0.0646122134428663,-0.07425130208333333,0.14453125,0.6401017643639391,0.7415935134325014,True,False,A,A
GRPO_LA5_I5 − GRPO_LA0_I3 (K=0 best by held-out Q1Q2),MI-SAT,96,0.13368055555555555,0.20959471711457528,0.01041666666666663,0.26736111111111105,0.04649278509018577,0.23516602239351111,0.11631944444444446,0.22207951309568832,0.015581597222222247,0.2256944444444445,0.04368957623078205,0.21844788115391023,True,True,A,A
GRPO_LA5_I5 − GRPO_LA0_I3 (K=0 best by held-out Q1Q2),MITI,96,0.07291666666666667,0.15155843409460143,-0.0234375,0.17447916666666666,0.13923803298652504,0.290146082046529,-0.19791666666666666,-0.4412266671947406,-0.2864583333333333,-0.109375,5.587800954515803e-05,0.00044702407636126423,False,True,A,B
GRPO_LA5_I5 − GRPO_LA0_I3 (K=0 best by held-out Q1Q2),PCT,96,0.03457066654744253,0.20334367092423888,0.0014315007292617283,0.06925416167812148,0.015025363968610926,0.10517754778027648,0.021681635449155478,0.12906861529862393,-0.009728338840254558,0.05789843768032864,0.31521800196386085,0.7415935134325014,True,False,A,A
GRPO_LA5_I5 − GRPO_LA0_I3 (K=0 best by held-out Q1Q2),MICI,96,0.10989573308547096,0.40165087292691876,0.05759975338784998,0.16626495023497084,0.00017802145431817406,0.0016021930888635665,0.2392034145326669,0.7629254531435382,0.17737503192244033,0.30159816743419643,5.334966088981375e-10,4.801469480083237e-09,True,True,B,B
