model_state,family,method,train_oracle,K,iteration,gen_base_model,metric,n,mean,sd,sem,ci95_lo,ci95_hi,ref_state,paired_delta_vs_ref,dz_vs_ref,wilcoxon_p_vs_ref
L0_CSQ8_V5,PTO(DPO),DPO,CSQ8,0.0,5,meta-llama/Llama-3.2-1B,MITI_GlobalMean,96,2.859375,1.1521218982473391,0.1175879488413642,2.6289026202709262,3.0898473797290738,Base,0.1744791666666666,0.1578027323803925,0.1857729785410506
L0_CSQ8_V5,PTO(DPO),DPO,CSQ8,0.0,5,meta-llama/Llama-3.2-1B,MI_Mean,96,2.538194444444444,1.4043539578704347,0.1433312756266912,2.2572651442161296,2.819123744672759,Base,0.0677083333333333,0.0691471239465432,0.3370711156570737
L0_CSQ8_V5,PTO(DPO),DPO,CSQ8,0.0,5,meta-llama/Llama-3.2-1B,Q1Q2_Mean,96,2.62873774509804,1.2654393063214713,0.1291533583728793,2.375597162687196,2.881878327508883,Base,0.2512254901960784,0.240481004137462,0.0223731265651702
L0_CSQ8_V5,PTO(DPO),DPO,CSQ8,0.0,5,meta-llama/Llama-3.2-1B,Q1_Mean,96,2.6,1.3010117520404527,0.1327839559109775,2.339743446414484,2.860256553585516,Base,0.2395833333333332,0.2172184107288665,0.0539419306788234
L0_CSQ8_V5,PTO(DPO),DPO,CSQ8,0.0,5,meta-llama/Llama-3.2-1B,Q2_Mean,96,2.657475490196078,1.2551404350453332,0.1281022342248316,2.4063951111154087,2.9085558692767486,Base,0.2628676470588235,0.2488389271969792,0.0178649297391741
L0_CSQ8_V5,PTO(DPO),DPO,CSQ8,0.0,5,meta-llama/Llama-3.2-1B,WAI_Bond_Mean,96,3.109375,1.0148972595137011,0.103582517798232,2.9063532651154653,3.3123967348845347,Base,0.0703125,0.0940581879335303,0.2860192927856476
L0_CSQ8_V5,PTO(DPO),DPO,CSQ8,0.0,5,meta-llama/Llama-3.2-1B,WAI_Goal_Mean,96,2.583333333333333,1.166227987701481,0.1190276455675601,2.350039148020916,2.8166275186457512,Base,0.0859375,0.1062885360022064,0.2749614185027862
L0_CSQ8_V5,PTO(DPO),DPO,CSQ8,0.0,5,meta-llama/Llama-3.2-1B,WAI_Task_Mean,96,2.638020833333333,1.1383678249250375,0.1161841796111782,2.410299841295424,2.865741825371243,Base,0.0520833333333333,0.0685353336331363,0.4736573957701405
L0_CSQ8_V5,PTO(DPO),DPO,CSQ8,0.0,5,meta-llama/Llama-3.2-1B,WAI_TotalMean,96,2.776909722222222,1.0916679919415195,0.1114178978660608,2.5585306424047425,2.9952888020397013,Base,0.0694444444444444,0.0960880344728203,0.4784261888735165
L5_CSQ8_V1,PTO(DPO),DPO,CSQ8,5.0,1,meta-llama/Llama-3.2-1B,CSQ8_Mean,96,2.196614583333333,1.1964510007763678,0.1221122689226825,1.957274536244876,2.4359546304217914,Base,0.0143229166666666,0.0178565801469962,0.8180704696933604
L5_CSQ8_V1,PTO(DPO),DPO,CSQ8,5.0,1,meta-llama/Llama-3.2-1B,MITI_GlobalMean,96,2.661458333333333,1.0760424362270309,0.1098231212640639,2.446205015655768,2.8767116510108988,Base,-0.0234375,-0.0190195604759291,0.8796976804390656
L5_CSQ8_V1,PTO(DPO),DPO,CSQ8,5.0,1,meta-llama/Llama-3.2-1B,MI_Mean,96,2.482638888888889,1.3612170265509904,0.1389286310099362,2.210338772109414,2.754939005668364,Base,0.0121527777777777,0.0111863059062021,0.7480858713247032
L5_CSQ8_V1,PTO(DPO),DPO,CSQ8,5.0,1,meta-llama/Llama-3.2-1B,Q1Q2_Mean,96,2.363541666666667,1.1436701934616529,0.1167253503337988,2.1347599800124213,2.5923233533209125,Base,-0.0139705882352941,-0.0104973999407965,0.9807511219881254
L5_CSQ8_V1,PTO(DPO),DPO,CSQ8,5.0,1,meta-llama/Llama-3.2-1B,Q1_Mean,96,2.3208333333333333,1.1917184996701782,0.1216292600511275,2.0824399836331238,2.5592266830335437,Base,-0.0395833333333333,-0.0279331298766116,0.952784085358887
L5_CSQ8_V1,PTO(DPO),DPO,CSQ8,5.0,1,meta-llama/Llama-3.2-1B,Q2_Mean,96,2.40625,1.1249420754427486,0.114813919792593,2.181214717206517,2.6312852827934825,Base,0.011642156862745,0.0090078527041565,0.9955573327901458
L5_CSQ8_V1,PTO(DPO),DPO,CSQ8,5.0,1,meta-llama/Llama-3.2-1B,WAI_Bond_Mean,96,2.9479166666666665,0.9946678013727596,0.1015178573724696,2.748941666216626,3.146891667116707,Base,-0.0911458333333333,-0.128879361210451,0.1612428711827068
L5_CSQ8_V1,PTO(DPO),DPO,CSQ8,5.0,1,meta-llama/Llama-3.2-1B,WAI_Goal_Mean,96,2.4713541666666665,1.2062718728132356,0.1231146074776614,2.23004953601045,2.712658797322883,Base,-0.0260416666666666,-0.0319318397688047,0.8112300457813681
L5_CSQ8_V1,PTO(DPO),DPO,CSQ8,5.0,1,meta-llama/Llama-3.2-1B,WAI_Task_Mean,96,2.5494791666666665,1.227759936925496,0.1253077238374635,2.303876027945238,2.795082305388095,Base,-0.0364583333333333,-0.0463622285990719,0.6078773393200014
L5_CSQ8_V1,PTO(DPO),DPO,CSQ8,5.0,1,meta-llama/Llama-3.2-1B,WAI_TotalMean,96,2.65625,1.1257388736718237,0.1148952426713091,2.431055324364234,2.881444675635766,Base,-0.0512152777777777,-0.0720889881047208,0.4593464409989825
L5_CSQ8_V2,PTO(DPO),DPO,CSQ8,5.0,2,meta-llama/Llama-3.2-1B,CSQ8_Mean,96,2.21484375,1.2958312619857084,0.1322552243588239,1.955623510256705,2.474063989743295,Base,0.0325520833333333,0.0449790897163322,0.5852333395171269
L5_CSQ8_V2,PTO(DPO),DPO,CSQ8,5.0,2,meta-llama/Llama-3.2-1B,MITI_GlobalMean,96,2.7916666666666665,1.1791314079410242,0.1203445953810427,2.5557912597198227,3.0275420736135104,Base,0.1067708333333333,0.0976961716385682,0.3309245529856119
L5_CSQ8_V2,PTO(DPO),DPO,CSQ8,5.0,2,meta-llama/Llama-3.2-1B,MI_Mean,96,2.5277777777777777,1.4639262010181011,0.1494113422327243,2.234931547001638,2.820624008553917,Base,0.0572916666666666,0.0675016601090884,0.4454931323825994
