judge,metric,arm,method,K,iteration,n,mean,median,sd,iqr,share_ge4,share_ge45,share_eq5
claude-haiku-4-5,Q2,GRPO_LA0,GRPO,0,1,96,2.1875,2.235294117647059,0.6662951219864618,1.1911764705882353,0.0,0.0,0.0
claude-haiku-4-5,Q2,GRPO_LA0,GRPO,0,2,96,2.2426470588235294,2.235294117647059,0.605339562691197,1.0147058823529411,0.0,0.0,0.0
claude-haiku-4-5,Q2,GRPO_LA0,GRPO,0,3,96,2.6960784313725488,2.764705882352941,0.47410963176983356,0.7794117647058822,0.0,0.0,0.0
claude-haiku-4-5,Q2,GRPO_LA0,GRPO,0,4,96,2.6550245098039214,2.6764705882352944,0.6219806568322214,0.8382352941176467,0.0,0.0,0.0
claude-haiku-4-5,Q2,GRPO_LA0,GRPO,0,5,96,2.6127450980392157,2.647058823529412,0.7058651528692204,1.058823529411765,0.0,0.0,0.0
claude-haiku-4-5,Q2,GRPO_LA0,GRPO,0,6,96,2.561887254901961,2.3823529411764706,0.8176646451843566,1.4264705882352944,0.0,0.0,0.0
claude-haiku-4-5,Q2,GRPO_LA0,GRPO,0,7,96,2.7408088235294117,2.764705882352941,0.7562320750768097,1.205882352941177,0.0,0.0,0.0
claude-haiku-4-5,Q2,GRPO_LA0,GRPO,0,8,96,2.9093137254901955,2.764705882352941,0.7229070124541437,1.2499999999999996,0.09375,0.0,0.0
claude-haiku-4-5,Q2,GRPO_LA0,GRPO,0,9,96,2.3106617647058822,2.0588235294117645,0.7901553770884071,0.9852941176470591,0.020833333333333332,0.0,0.0
claude-haiku-4-5,Q2,GRPO_LA0,GRPO,0,10,96,2.6476715686274512,2.5,0.5626960358400226,0.8235294117647056,0.020833333333333332,0.0,0.0
claude-haiku-4-5,Q2,GRPO_LA5,GRPO,5,0,96,1.9877450980392155,2.0,0.658741517820481,1.0441176470588232,0.0,0.0,0.0
claude-haiku-4-5,Q2,GRPO_LA5,GRPO,5,1,96,2.2175245098039214,2.176470588235294,0.6672132654203182,1.2941176470588238,0.0,0.0,0.0
claude-haiku-4-5,Q2,GRPO_LA5,GRPO,5,2,96,2.3125,2.264705882352941,0.6321279029337781,1.0294117647058827,0.0,0.0,0.0
claude-haiku-4-5,Q2,GRPO_LA5,GRPO,5,3,96,2.6488970588235294,2.7941176470588234,0.5580785730348087,0.9411764705882355,0.0,0.0,0.0
claude-haiku-4-5,Q2,GRPO_LA5,GRPO,5,4,96,2.752450980392157,2.823529411764706,0.45810984159406276,0.8235294117647056,0.0,0.0,0.0
claude-haiku-4-5,Q2,GRPO_LA5,GRPO,5,5,96,2.7849264705882355,2.9411764705882355,0.5901410691649979,0.8235294117647052,0.0,0.0,0.0
claude-haiku-4-5,Q2,PTO_LA0,PTO,0,0,96,1.9865196078431373,2.0588235294117645,0.657278105971752,1.0588235294117645,0.0,0.0,0.0
claude-haiku-4-5,Q2,PTO_LA0,PTO,0,1,96,2.2285539215686274,2.1470588235294112,0.6701410595095811,1.2941176470588236,0.0,0.0,0.0
claude-haiku-4-5,Q2,PTO_LA0,PTO,0,2,96,2.319240196078431,2.323529411764706,0.6377172451557319,0.9411764705882355,0.0,0.0,0.0
claude-haiku-4-5,Q2,PTO_LA0,PTO,0,3,96,2.59375,2.5588235294117645,0.5880543452338918,0.8235294117647061,0.0,0.0,0.0
claude-haiku-4-5,Q2,PTO_LA0,PTO,0,4,96,2.767156862745098,2.8529411764705883,0.5113832012160816,0.7647058823529407,0.0,0.0,0.0
claude-haiku-4-5,Q2,PTO_LA0,PTO,0,5,96,2.8560049019607843,2.9411764705882355,0.5806865354261116,0.8970588235294121,0.0,0.0,0.0
claude-haiku-4-5,Q2,PTO_LA0,PTO,0,6,96,2.9387254901960786,3.0,0.5845654357032686,0.5882352941176467,0.020833333333333332,0.0,0.0
claude-haiku-4-5,Q2,PTO_LA0,PTO,0,7,96,2.968137254901961,2.9411764705882355,0.617413587993482,1.1470588235294117,0.010416666666666666,0.0,0.0
claude-haiku-4-5,Q2,PTO_LA0,PTO,0,8,96,3.0680147058823533,3.0294117647058822,0.6131163993703275,1.1911764705882355,0.020833333333333332,0.0,0.0
claude-haiku-4-5,Q2,PTO_LA0,PTO,0,9,96,3.1213235294117645,3.0588235294117645,0.6351457515091881,1.2941176470588238,0.020833333333333332,0.0,0.0
claude-haiku-4-5,Q2,PTO_LA0,PTO,0,10,96,3.0925245098039214,3.0,0.5980448197135461,1.1764705882352944,0.041666666666666664,0.0,0.0
claude-haiku-4-5,Q2,PTO_LA5,PTO,5,0,96,1.98406862745098,2.0588235294117645,0.6237851667003231,0.9411764705882351,0.0,0.0,0.0
