method,iteration,metric,contrast,primary_n,primary_delta,primary_dz,primary_ci_lo,primary_ci_hi,primary_p,primary_p_holm,judge_delta,judge_dz,judge_ci_lo,judge_ci_hi,judge_p,judge_p_holm,same_sign,judge_ci_excl0,favours_primary,favours_judge
GRPO,0,MITI,GRPO_LA0_Base − GRPO_LA5_Base,96,0.10416666666666667,0.12795697317589644,-0.057291666666666664,0.2682291666666667,0.37872076323288184,1.0,0.057291666666666664,0.1141399001343057,-0.03912760416666666,0.15885416666666666,0.2967782603700684,1.0,True,False,K0,K0
GRPO,1,MITI,GRPO_LA0_I1 − GRPO_LA5_I1,96,-0.015625,-0.01650870707673533,-0.19798177083333332,0.16927083333333334,0.72794558945305,1.0,-0.033854166666666664,-0.061860569420618516,-0.14583333333333334,0.078125,0.6140273644873055,1.0,True,False,K5,K5
GRPO,2,MITI,GRPO_LA0_I2 − GRPO_LA5_I2,96,-0.041666666666666664,-0.04195284853172538,-0.23704427083333332,0.15891927083333296,0.7046920715552443,1.0,-0.028645833333333332,-0.047205243768417886,-0.1484375,0.09635416666666667,0.6415338489975131,1.0,True,False,K5,K5
GRPO,3,MITI,GRPO_LA0_I3 − GRPO_LA5_I3,96,0.07291666666666667,0.16698383660340657,-0.018229166666666668,0.15625,0.11580519343837445,0.6948311606302466,0.1328125,0.2913276037003906,0.049479166666666664,0.22395833333333334,0.0044210862203032586,0.02652651732181955,True,True,K0,K0
GRPO,4,MITI,GRPO_LA0_I4 − GRPO_LA5_I4,96,-0.044270833333333336,-0.10663443664566226,-0.125,0.036458333333333336,0.2744758407221797,1.0,0.0026041666666666665,0.006190458813774083,-0.07552083333333333,0.08600260416666632,0.9972872339349826,1.0,False,False,K5,K0
GRPO,5,MITI,GRPO_LA0_I5 − GRPO_LA5_I5,96,-0.0703125,-0.14623441532040124,-0.16927083333333334,0.028645833333333332,0.16440599243109266,0.8220299621554633,-0.09895833333333333,-0.21207403807336472,-0.19016927083333332,-0.0026041666666666665,0.04278341859585862,0.21391709297929312,True,True,K5,K5
GRPO,0,PCT,GRPO_LA0_Base − GRPO_LA5_Base,96,0.016421943202865094,0.07141605396288182,-0.028528648695167788,0.062367440676279966,0.3209295212958708,0.9573744584654621,0.019184836697950423,0.08797454454846312,-0.024854925808225112,0.06342037898821959,0.40305585711431235,1.0,True,False,K0,K0
GRPO,1,PCT,GRPO_LA0_I1 − GRPO_LA5_I1,96,0.0037398527000088414,0.01787688324422572,-0.036652878383885035,0.04646688263379922,0.735249483670841,0.9573744584654621,0.017050498874779146,0.08161255945400382,-0.021874694483754255,0.05892801208715247,0.79746771968048,1.0,True,False,K0,K0
GRPO,2,PCT,GRPO_LA0_I2 − GRPO_LA5_I2,96,-0.0116310844602737,-0.04835535427360004,-0.059942315670999016,0.035998754475552217,0.31912481948848737,0.9573744584654621,-0.00774697223300249,-0.03443679587148055,-0.052436976976952814,0.038430170001300126,0.4655113624543473,1.0,True,False,K5,K5
GRPO,3,PCT,GRPO_LA0_I3 − GRPO_LA5_I3,96,-0.035879670014374386,-0.20071128210407635,-0.07148400386258096,-0.0007947252137540225,0.01764274358856231,0.07057097435424924,-0.021991864299669858,-0.12369975979158968,-0.05850373468290794,0.013038662116636715,0.24675525513125174,0.987021020525007,True,False,K5,K5
GRPO,4,PCT,GRPO_LA0_I4 − GRPO_LA5_I4,96,-0.06198632222943621,-0.321200033449908,-0.10098148801455732,-0.024699391151031785,0.002230042228047965,0.013380253368287789,-0.06519875017464699,-0.3665120992061885,-0.09888169861810824,-0.030344252623167544,0.00037233677983515464,0.002234020679010928,True,True,K5,K5
GRPO,5,PCT,GRPO_LA0_I5 − GRPO_LA5_I5,96,-0.05593113725369917,-0.3093732097154723,-0.09390778998872071,-0.019493301347077004,0.0033783495791212675,0.016891747895606338,-0.06744086563770194,-0.3729990632089324,-0.10535669094036089,-0.03117107506795249,0.0005574574664504758,0.002787287332252379,True,True,K5,K5
GRPO,0,MICI,GRPO_LA0_Base − GRPO_LA5_Base,96,0.0023041990311622085,0.00727129241829498,-0.05523267485101965,0.06861942581369984,0.778333379130508,1.0,0.057313706772436905,0.14710484113392083,-0.015989436168399367,0.1333091807286561,0.14135416750208463,0.44103826913757865,True,False,K5,K5
GRPO,1,MICI,GRPO_LA0_I1 − GRPO_LA5_I1,96,-0.00043840227130583696,-0.0014407693063622805,-0.06327808101936122,0.059405286845520204,0.8257136946275876,1.0,0.01152773327168013,0.0280419628809865,-0.07078719231770356,0.09061468998892275,0.42644484525993387,0.8528896905198677,False,False,K0,K5
GRPO,2,MICI,GRPO_LA0_I2 − GRPO_LA5_I2,96,-0.05833417904490728,-0.22249380249380488,-0.11002296904469425,-0.00718063716871235,0.07663424460123142,0.22990273380369425,-0.06109661041034292,-0.15529244015145643,-0.1386885405466544,0.014660348725808217,0.11025956728439466,0.44103826913757865,True,False,K0,K0
GRPO,3,MICI,GRPO_LA0_I3 − GRPO_LA5_I3,96,-0.07743919387463692,-0.31939157951725244,-0.1261975739730319,-0.028878425386959106,0.0014578713268923124,0.008747227961353875,-0.11060569293873741,-0.3542902838037176,-0.17172253010502608,-0.05113825891169537,0.00037417700397368684,0.002245062023842121,True,True,K0,K0
GRPO,4,MICI,GRPO_LA0_I4 − GRPO_LA5_I4,96,-0.05427677490709612,-0.24536413498386483,-0.09901428245414073,-0.010974298644359655,0.018259069863518718,0.09129534931759359,-0.05428777790765019,-0.17357978073213898,-0.1157337710561032,0.007546818202294121,0.04590401780615968,0.2295200890307984,True,False,K0,K0
GRPO,5,MICI,GRPO_LA0_I5 − GRPO_LA5_I5,96,-0.06298907055220994,-0.2429304993301655,-0.11673686140684822,-0.012561273117903764,0.043888484640511365,0.17555393856204546,-0.017977207075272925,-0.052997955799543285,-0.08492444521620511,0.05044167531478211,0.6360645782349432,0.8528896905198677,True,False,K0,K0
PTO,0,Q1Q2,PTO_LA0_Base − PTO_LA5_Base,96,-0.0028799019607843542,-0.0027523085461844663,-0.20014093137254907,0.20382506127450958,0.9652731248279893,1.0,-0.003982843137254916,-0.005725458039515019,-0.1380821078431373,0.13672487745098022,0.9700060242656776,0.9700060242656776,True,False,K5,K5
PTO,1,Q1Q2,PTO_LA0_I1 − PTO_LA5_I1,96,0.08278186274509802,0.09312357425878956,-0.09437959558823525,0.2578477328431372,0.34801212031071116,1.0,0.0600490196078431,0.08986338539518078,-0.06783854166666667,0.1970235906862744,0.36788079911236693,0.7357615982247339,True,False,K0,K0
PTO,2,Q1Q2,PTO_LA0_I2 − PTO_LA5_I2,96,0.1582720588235295,0.18299573147378675,-0.010332414215686153,0.3269270833333329,0.06187746549109181,0.6187746549109181,0.13609068627450985,0.19711704544167283,0.0002941176470588419,0.2695113357843137,0.049575240983465566,0.2763931642142965,True,True,K0,K0
PTO,3,Q1Q2,PTO_LA0_I3 − PTO_LA5_I3,96,0.1406862745098039,0.20225705845035605,0.00579350490196072,0.2804136029411763,0.16475111799075615,1.0,0.13026960784313726,0.19949795484356975,0.0008471200980392021,0.2565563725490196,0.04606552736904941,0.2763931642142965,True,True,K0,K0
PTO,4,Q1Q2,PTO_LA0_I4 − PTO_LA5_I4,96,0.11960784313725491,0.20072981306197937,0.009226409313725484,0.23984374999999994,0.28137692050063545,1.0,0.12310049019607842,0.21444441177914883,0.015497855392156864,0.23483302696078412,0.18561743218905968,0.5857700658639764,True,True,K0,K0
PTO,5,Q1Q2,PTO_LA0_I5 − PTO_LA5_I5,96,-0.0020833333333333073,-0.004299810144596841,-0.09455882352941176,0.09657015931372552,0.9611750085424187,1.0,0.17316176470588238,0.33011578852891504,0.07119178921568628,0.2784957107843137,0.0023766618913554035,0.021389957022198633,False,True,K5,K0
PTO,6,Q1Q2,PTO_LA0_I6 − PTO_LA5_I6,96,0.25680147058823527,0.4166114232272185,0.14093137254901958,0.3878507965686271,5.599129426814168e-05,0.0006159042369495585,0.3428308823529412,0.5106517551078329,0.21003063725490195,0.48034160539215676,9.019916271104345e-06,9.92190789821478e-05,True,True,K0,K0
PTO,7,Q1Q2,PTO_LA0_I7 − PTO_LA5_I7,96,0.04362745098039217,0.07238152908473496,-0.07910845588235298,0.1596200980392157,0.7095127127857475,1.0,0.07794117647058826,0.12182517154368538,-0.052314644607843054,0.2070526960784314,0.1464425164659941,0.5857700658639764,True,False,K0,K0
