judge,K,iteration,metric,contrast,n,delta,dz,ci_lo,ci_hi,p,p_holm,p_holm_rubrics,favours
claude-haiku-4-5,0,4,MI-SAT,PTO_LA0_I4 − GRPO_LA0_I4,96,0.09027777777777775,0.14423429101459298,-0.029513888888888905,0.21527777777777776,0.2284344618542593,0.9137378474170372,1.0,PTO
claude-haiku-4-5,0,5,MI-SAT,PTO_LA0_I5 − GRPO_LA0_I5,96,0.10763888888888884,0.18066763883183,-0.0034722222222222706,0.2291666666666666,0.09324009324189182,0.4662004662094591,0.23294881539925494,PTO
claude-haiku-4-5,0,6,MI-SAT,PTO_LA0_I6 − GRPO_LA0_I6,96,0.3350694444444445,0.44592098749076403,0.18923611111111116,0.484375,7.121917547204427e-05,0.0006409725792483984,0.0003560958773602213,PTO
claude-haiku-4-5,0,7,MI-SAT,PTO_LA0_I7 − GRPO_LA0_I7,96,0.11631944444444446,0.179245392474349,-0.015624999999999958,0.24999999999999997,0.07534694721039858,0.4520816832623915,0.3465851415987234,PTO
claude-haiku-4-5,0,8,MI-SAT,PTO_LA0_I8 − GRPO_LA0_I8,96,0.11979166666666667,0.23569991536772897,0.020833333333333346,0.22048611111111113,0.00966547841663939,0.07732382733311512,0.03866191366655756,PTO
claude-haiku-4-5,0,9,MI-SAT,PTO_LA0_I9 − GRPO_LA0_I9,96,0.7204861111111112,1.0282877579822882,0.5780815972222222,0.861111111111111,1.3125088483902623e-12,1.4437597332292885e-11,6.941247655613635e-12,PTO
claude-haiku-4-5,0,10,MI-SAT,PTO_LA0_I10 − GRPO_LA0_I10,96,0.24826388888888887,0.5095084348808456,0.1579861111111111,0.3506944444444444,3.0518753580686937e-06,3.0518753580686935e-05,6.687658553587002e-06,PTO
claude-haiku-4-5,0,0,MITI,PTO_LA0_Base − GRPO_LA0_Base,96,-0.049479166666666664,-0.09246555433544934,-0.15364583333333334,0.0546875,0.38316691629015265,1.0,1.0,GRPO
claude-haiku-4-5,0,1,MITI,PTO_LA0_I1 − GRPO_LA0_I1,96,-0.018229166666666668,-0.03525038780183451,-0.11458333333333333,0.08072916666666667,0.7882055187602793,1.0,1.0,GRPO
claude-haiku-4-5,0,2,MITI,PTO_LA0_I2 − GRPO_LA0_I2,96,0.026041666666666668,0.04868181276299699,-0.07558593749999999,0.13020833333333334,0.6365094812449162,1.0,1.0,PTO
claude-haiku-4-5,0,3,MITI,PTO_LA0_I3 − GRPO_LA0_I3,96,-0.10677083333333333,-0.21539478261685402,-0.203125,-0.012955729166667023,0.03600640151116024,0.14402560604464096,0.14402560604464096,GRPO
claude-haiku-4-5,0,4,MITI,PTO_LA0_I4 − GRPO_LA0_I4,96,0.1171875,0.25230638207450967,0.0234375,0.20579427083333296,0.020523872614011056,0.10261936307005529,0.16419098091208845,PTO
claude-haiku-4-5,0,5,MITI,PTO_LA0_I5 − GRPO_LA0_I5,96,0.2942708333333333,0.6013461509301545,0.1953125,0.3932291666666667,3.7581344632101684e-07,3.3823210168891514e-06,3.3823210168891514e-06,PTO
claude-haiku-4-5,0,6,MITI,PTO_LA0_I6 − GRPO_LA0_I6,96,0.2682291666666667,0.5225552098474961,0.1640625,0.375,1.4193440352885501e-06,1.1354752282308401e-05,1.2774096317596951e-05,PTO
claude-haiku-4-5,0,7,MITI,PTO_LA0_I7 − GRPO_LA0_I7,96,0.19791666666666666,0.4261648311525754,0.10670572916666667,0.2942708333333333,0.00012854345613609456,0.0007712607368165674,0.0011568911052248511,PTO
claude-haiku-4-5,0,8,MITI,PTO_LA0_I8 − GRPO_LA0_I8,96,0.17447916666666666,0.4906185493886717,0.10677083333333333,0.24739583333333334,9.121682141579917e-06,6.385177499105943e-05,5.47300928494795e-05,PTO
claude-haiku-4-5,0,9,MITI,PTO_LA0_I9 − GRPO_LA0_I9,96,0.4166666666666667,0.9296584964070279,0.3333333333333333,0.5052083333333334,1.2496580077687718e-11,1.374623808545649e-10,4.998632031075087e-11,PTO
claude-haiku-4-5,0,10,MITI,PTO_LA0_I10 − GRPO_LA0_I10,96,0.2526041666666667,0.6479867210677973,0.17708333333333334,0.3307291666666667,2.747370082886503e-08,2.747370082886503e-07,1.0989480331546012e-07,PTO
claude-haiku-4-5,0,0,PCT,PTO_LA0_Base − GRPO_LA0_Base,96,-0.0058911740507408645,-0.027420925257404707,-0.05114197686972955,0.03607888688442539,0.9902518327631454,1.0,1.0,GRPO
claude-haiku-4-5,0,1,PCT,PTO_LA0_I1 − GRPO_LA0_I1,96,-0.02582548851592675,-0.11660876811858208,-0.06861406030928423,0.017423553596088708,0.2672399964883321,1.0,1.0,GRPO
claude-haiku-4-5,0,2,PCT,PTO_LA0_I2 − GRPO_LA0_I2,96,-0.009981279672386734,-0.047032672379499,-0.05196671162667148,0.030096770919382496,0.8641830744852822,1.0,1.0,GRPO
claude-haiku-4-5,0,3,PCT,PTO_LA0_I3 − GRPO_LA0_I3,96,-0.028884257895617518,-0.15153263981062823,-0.06425296607382332,0.0069585116844418805,0.2714876221025976,1.0,0.5429752442051952,GRPO
claude-haiku-4-5,0,4,PCT,PTO_LA0_I4 − GRPO_LA0_I4,96,-0.009207052944475533,-0.04902719485178552,-0.0464077513424577,0.027077603870802346,0.9260124670436284,1.0,1.0,GRPO
claude-haiku-4-5,0,5,PCT,PTO_LA0_I5 − GRPO_LA0_I5,96,0.028242237692218345,0.13107647286073043,-0.015252540269471378,0.07044021690070687,0.05521766398326057,0.4969589758493451,0.22087065593304228,PTO
claude-haiku-4-5,0,6,PCT,PTO_LA0_I6 − GRPO_LA0_I6,96,0.058253331045029964,0.2811365496012279,0.016642593842006094,0.09928077332114194,0.019377956744590155,0.19377956744590155,0.058133870233770465,PTO
claude-haiku-4-5,0,7,PCT,PTO_LA0_I7 − GRPO_LA0_I7,96,-0.0012382514680308783,-0.005947660618021927,-0.04325426927527595,0.03847693780731221,0.622676215803597,1.0,0.6664530874791925,GRPO
claude-haiku-4-5,0,8,PCT,PTO_LA0_I8 − GRPO_LA0_I8,96,0.00908345726699055,0.04395772228462678,-0.03107902117474244,0.05141845043420843,0.8479939562683504,1.0,1.0,PTO
claude-haiku-4-5,0,9,PCT,PTO_LA0_I9 − GRPO_LA0_I9,96,0.17445917045738057,0.827347360324479,0.13620874473613082,0.2164680958562779,2.1237340252248354e-10,2.336107427747319e-09,4.247468050449671e-10,PTO
claude-haiku-4-5,0,10,PCT,PTO_LA0_I10 − GRPO_LA0_I10,96,0.020709053829941988,0.12187815009658794,-0.011854901350172732,0.05553944323372776,0.20362211881626846,1.0,0.20362211881626846,PTO
claude-haiku-4-5,0,0,MICI,PTO_LA0_Base − GRPO_LA0_Base,96,-0.019620734655164757,-0.04784328403908532,-0.09709191970418563,0.06469232416270966,0.8235524234042942,1.0,1.0,PTO
claude-haiku-4-5,0,1,MICI,PTO_LA0_I1 − GRPO_LA0_I1,96,-0.013147653170631116,-0.03661778116333504,-0.08550921184692106,0.0595792675251484,0.5756249101273287,1.0,1.0,PTO
claude-haiku-4-5,0,2,MICI,PTO_LA0_I2 − GRPO_LA0_I2,96,0.03680180239294016,0.09233982133963664,-0.040753749450888097,0.1145920006924566,0.38173122257734704,1.0,1.0,GRPO
claude-haiku-4-5,0,3,MICI,PTO_LA0_I3 − GRPO_LA0_I3,96,0.00993038347039559,0.02653001356293499,-0.06132473157791273,0.08572914501451552,0.8384837288222169,1.0,0.8384837288222169,GRPO
claude-haiku-4-5,0,4,MICI,PTO_LA0_I4 − GRPO_LA0_I4,96,-0.11825971442844509,-0.4191659845282566,-0.17402923812858143,-0.06339784669906336,0.00015190929766141137,0.0013671836789527023,0.0013671836789527023,PTO
claude-haiku-4-5,0,5,MICI,PTO_LA0_I5 − GRPO_LA0_I5,96,-0.12567593941783142,-0.38547158416808935,-0.19185435124830594,-0.06325837659812442,0.00037117738785500044,0.0029694191028400035,0.0029694191028400035,PTO
claude-haiku-4-5,0,6,MICI,PTO_LA0_I6 − GRPO_LA0_I6,96,-0.03019340267102416,-0.08470373024983462,-0.10027874550753509,0.04400507679213805,0.42622304087433416,1.0,0.42622304087433416,PTO
claude-haiku-4-5,0,7,MICI,PTO_LA0_I7 − GRPO_LA0_I7,96,-0.03688657480713949,-0.10316650498879493,-0.10706754600000559,0.03623589709598109,0.3203928273267963,1.0,0.6664530874791925,PTO
claude-haiku-4-5,0,8,MICI,PTO_LA0_I8 − GRPO_LA0_I8,96,-0.2271601609192259,-0.6323626790729697,-0.30191218460305586,-0.15429602814153276,2.8984965972157313e-08,2.898496597215731e-07,2.6086469374941584e-07,PTO
claude-haiku-4-5,0,9,MICI,PTO_LA0_I9 − GRPO_LA0_I9,96,0.05098337287748084,0.12428203613887018,-0.02721871250864576,0.1305219779593328,0.10053654073286153,0.7037557851300307,0.10053654073286153,GRPO
claude-haiku-4-5,0,10,MICI,PTO_LA0_I10 − GRPO_LA0_I10,96,-0.2244634610861244,-0.6672306196893123,-0.2906269259066684,-0.15667661515932788,1.8763290866188872e-08,2.063961995280776e-07,1.0958503203094822e-07,PTO
claude-haiku-4-5,5,0,Q1Q2,PTO_LA5_Base − GRPO_LA5_Base,96,-0.0007965686274509683,-0.0012718795468797876,-0.1244638480392157,0.12152726715686266,0.7929574958924944,1.0,1.0,GRPO
claude-haiku-4-5,5,1,Q1Q2,PTO_LA5_I1 − GRPO_LA5_I1,96,-0.034742647058823524,-0.042970213841834616,-0.19590379901960783,0.12415747549019598,0.6376380812500247,1.0,1.0,GRPO
claude-haiku-4-5,5,2,Q1Q2,PTO_LA5_I2 − GRPO_LA5_I2,96,-0.07855392156862745,-0.11341010473291438,-0.2103691789215686,0.057725183823529376,0.27857552267017105,0.8357265680105131,1.0,GRPO
claude-haiku-4-5,5,3,Q1Q2,PTO_LA5_I3 − GRPO_LA5_I3,96,-0.23596813725490193,-0.36279153674497966,-0.3636075367647058,-0.1106587009803921,0.0005678860045613796,0.0030615864536079123,0.005110974041052416,GRPO
claude-haiku-4-5,5,4,Q1Q2,PTO_LA5_I4 − GRPO_LA5_I4,96,-0.2261642156862745,-0.380118464818878,-0.34467677696078436,-0.10704197303921573,0.0007050632307047787,0.0030615864536079123,0.005640505845638229,GRPO
